Player,Rk,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Aaron Cresswell,112,engENG,DF,West Ham,35-130,1989,6.5,2,0,0,3,1,0,27,6,4,0,0,0,21,7,6,53.8,Matches
Aaron Ramsdale,418,engENG,GK,Southampton,26-345,1998,25.0,2,0,0,1,4,0,0,2,0,0,0,0,18,4,0,100.0,Matches
Aaron Wan-Bissaka,536,engENG,DF,West Ham,27-149,1997,30.0,1,0,0,22,23,4,61,57,43,0,0,1,153,22,28,44.0,Matches
Abdoulaye Doucouré,145,mlMLI,MF,Everton,32-113,1993,25.9,5,1,1,46,5,9,22,9,25,0,0,0,134,29,40,42.0,Matches
Abdukodir Khusanov,278,uzUZB,DF,Manchester City,21-054,2004,5.6,1,0,0,3,3,0,1,3,4,0,0,1,27,6,4,60.0,Matches
Abdul Fatawu Issahaku,174,ghGHA,FW,Leicester City,21-047,2004,6.4,0,0,0,11,20,2,30,4,15,0,0,0,38,14,13,51.9,Matches
Adam Armstrong,33,engENG,"FW,MF",Southampton,28-073,1997,13.9,4,0,0,12,5,9,14,3,3,0,0,0,23,5,9,35.7,Matches
Adam Lallana,292,engENG,MF,Southampton,36-349,1988,4.0,4,0,0,8,8,0,4,5,5,0,0,0,19,2,2,50.0,Matches
Adam Smith,472,engENG,DF,Bournemouth,33-360,1991,14.7,5,0,0,13,10,0,28,14,10,0,0,0,40,12,12,50.0,Matches
Adam Webster,542,engENG,DF,Brighton,30-110,1995,6.9,0,0,0,5,2,1,1,14,5,0,1,0,20,17,4,81.0,Matches
Adam Wharton,546,engENG,MF,Crystal Palace,20-326,2004,14.0,2,0,0,12,21,0,35,18,14,0,0,0,96,7,16,30.4,Matches
Adama Traoré,512,esESP,"FW,MF",Fulham,29-089,1996,16.9,2,0,0,20,29,1,84,1,12,0,0,0,75,24,25,49.0,Matches
Albert Grønbaek,212,dkDEN,"FW,MF",Southampton,23-336,2001,1.6,0,0,0,0,1,0,1,0,1,0,0,0,6,2,0,100.0,Matches
Alejandro Garnacho,193,arARG,"MF,FW",Manchester Utd,20-297,2004,21.8,2,0,0,10,38,9,47,11,18,0,0,0,102,3,23,11.5,Matches
Alex Iwobi,249,ngNGA,"FW,MF",Fulham,28-356,1996,29.3,1,0,0,16,16,4,109,11,21,0,0,0,122,5,29,14.7,Matches
Alex McCarthy,336,engENG,GK,Southampton,35-142,1989,5.0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,100.0,Matches
Alex Palmer,399,engENG,GK,Ipswich Town,28-257,1996,9.0,2,0,0,1,1,0,0,0,0,0,0,0,13,3,0,100.0,Matches
Alex Scott,457,engENG,MF,Bournemouth,21-246,2003,6.8,2,0,0,9,24,0,3,9,12,0,0,0,45,5,6,45.5,Matches
Alexander Isak,248,seSWE,FW,Newcastle Utd,25-215,1999,26.8,1,0,0,24,12,20,15,3,5,1,0,0,52,25,47,34.7,Matches
Alexis Mac Allister,312,arARG,MF,Liverpool,26-121,1998,27.5,6,0,0,59,39,2,80,21,54,0,0,0,138,18,33,35.3,Matches
Alfie Dorrington,144,engENG,DF,Tottenham,20-004,2005,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,N/a,Matches
Alfie Pond,413,engENG,DF,Wolves,21-054,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,Matches
Ali Al Hamadi,223,iqIRQ,FW,Ipswich Town,23-054,2002,1.5,3,0,0,8,3,1,0,0,0,0,0,0,4,5,9,35.7,Matches
Alisson,16,brBRA,GK,Liverpool,32-204,1992,22.9,0,0,0,0,2,0,0,0,0,0,0,0,41,6,0,100.0,Matches
Alphonse Areola,31,frFRA,GK,West Ham,32-056,1993,21.1,0,0,0,0,0,0,0,0,2,0,0,1,26,2,0,100.0,Matches
Altay Bayındır,48,trTUR,GK,Manchester Utd,27-010,1998,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0,Matches
Amad Diallo,130,ciCIV,"FW,MF",Manchester Utd,22-287,2002,17.7,3,0,0,19,23,9,38,11,26,1,0,0,93,9,15,37.5,Matches
Amadou Onana,390,beBEL,MF,Aston Villa,23-251,2001,15.0,4,0,0,30,23,0,1,24,24,0,0,0,64,25,18,58.1,Matches
Andreas Pereira,405,brBRA,MF,Fulham,29-113,1996,20.4,7,0,0,26,22,1,158,8,12,1,0,0,97,12,20,37.5,Matches
Andrew Robertson,432,sctSCO,DF,Liverpool,31-044,1994,24.6,3,1,0,10,7,2,131,20,22,0,1,1,89,6,12,33.3,Matches
André,26,brBRA,MF,Wolves,23-282,2001,23.2,7,0,0,34,32,0,0,29,42,0,1,0,166,2,6,25.0,Matches
André Onana,391,cmCMR,GK,Manchester Utd,29-022,1996,32.0,0,0,0,0,2,0,0,0,1,0,0,0,30,6,0,100.0,Matches
Andrés García,192,esESP,"DF,MF",Aston Villa,22-076,2003,3.5,0,0,0,1,0,0,18,2,5,0,0,0,15,0,6,0.0,Matches
Andy Irving,247,sctSCO,MF,West Ham,24-346,2000,1.8,2,0,0,6,1,0,2,1,4,0,0,0,10,1,1,50.0,Matches
Anthony Elanga,159,seSWE,FW,Nott'ham Forest,22-362,2002,22.8,1,0,0,7,32,13,142,5,12,0,0,0,79,22,33,40.0,Matches
Anthony Gordon,206,engENG,FW,Newcastle Utd,24-059,2001,24.2,2,0,0,19,62,7,119,6,17,1,0,0,91,5,7,41.7,Matches
Antoine Semenyo,460,ghGHA,FW,Bournemouth,25-107,2000,31.4,9,0,0,64,36,14,52,8,33,1,0,0,142,60,71,45.8,Matches
Antonee Robinson,433,usUSA,DF,Fulham,27-259,1997,32.2,8,0,0,30,17,6,158,56,56,0,0,0,142,45,25,64.3,Matches
Antony,28,brBRA,"DF,MF",Manchester Utd,25-059,2000,1.6,0,0,0,2,5,0,5,2,3,0,0,0,11,0,1,0.0,Matches
Antonín Kinský,281,czCZE,GK,Tottenham,22-042,2003,4.0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,100.0,Matches
Archie Gray,208,engENG,"DF,MF",Tottenham,19-043,2006,15.0,0,0,0,9,11,0,12,10,6,0,0,1,56,9,8,52.9,Matches
Arijanet Muric,364,xkKVX,GK,Ipswich Town,26-168,1998,18.0,1,0,0,0,4,0,0,0,0,0,0,0,26,11,1,91.7,Matches
Armando Broja,70,alALB,FW,Everton,23-226,2001,3.7,1,0,0,6,4,3,1,1,1,0,0,0,9,18,21,46.2,Matches
Armel Bella Kotchap,50,deGER,DF,Southampton,23-134,2001,3.7,0,0,0,3,2,0,0,5,5,0,0,0,19,6,5,54.5,Matches
Asher Agbinone,7,engENG,MF,Crystal Palace,19-208,2005,0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0,Matches
Ashley Young,563,engENG,"DF,FW",Everton,39-289,1985,17.6,6,1,0,24,17,0,63,22,28,0,0,0,60,10,10,50.0,Matches
Axel Disasi,136,frFRA,DF,Aston Villa,27-044,1998,5.4,2,0,0,3,2,2,1,5,5,0,0,0,15,8,6,57.1,Matches
Axel Tuanzebe,519,cdCOD,DF,Ipswich Town,27-161,1997,16.1,5,1,1,12,11,0,6,21,17,0,0,1,43,15,16,48.4,Matches
Ayden Heaven,228,engENG,DF,Manchester Utd,18-214,2006,1.1,0,0,0,2,3,0,0,1,3,0,0,0,4,1,2,33.3,Matches
Bart Verbruggen,529,nlNED,GK,Brighton,22-249,2002,31.0,5,0,0,0,2,0,0,0,0,0,0,0,57,10,1,90.9,Matches
Ben Brereton,68,clCHI,FW,Southampton,26-006,1999,5.0,1,0,0,4,8,1,5,0,2,0,0,0,16,9,7,56.3,Matches
Ben Chilwell,96,engENG,DF,Crystal Palace,28-124,1996,1.5,1,0,0,2,2,2,3,4,4,0,0,0,12,3,3,50.0,Matches
Ben Davies,122,wlsWAL,DF,Tottenham,32-000,1993,10.5,3,0,0,11,4,0,4,10,9,0,0,0,31,41,33,55.4,Matches
Ben Godfrey,198,engENG,DF,Ipswich Town,27-099,1998,1.2,1,0,0,1,0,0,0,2,0,0,0,0,2,2,0,100.0,Matches
Ben Johnson,261,engENG,"DF,FW",Ipswich Town,25-090,2000,14.6,3,0,0,25,6,1,36,13,22,0,0,0,55,19,18,51.4,Matches
Ben Mee,340,engENG,DF,Brentford,35-215,1989,2.0,2,0,0,5,0,0,0,4,2,0,0,0,11,5,5,50.0,Matches
Ben White,547,engENG,DF,Arsenal,27-198,1997,9.5,2,0,0,8,4,1,10,12,8,0,0,0,24,11,3,78.6,Matches
Ben Winterburn,555,engENG,"FW,MF",Bournemouth,20-232,2004,0.3,0,0,0,0,1,0,0,2,0,0,0,0,2,1,0,100.0,Matches
Benoît Badiashile,42,frFRA,DF,Chelsea,24-029,2001,3.7,0,0,0,6,2,0,0,6,6,0,0,0,18,8,2,80.0,Matches
Bernardo Silva,465,ptPOR,"MF,FW",Manchester City,30-257,1994,25.7,7,0,0,25,27,3,50,19,32,0,0,0,90,5,10,33.3,Matches
Bernd Leno,297,deGER,GK,Fulham,33-051,1992,33.0,4,0,0,0,3,0,0,0,2,0,0,0,47,9,0,100.0,Matches
Beto,57,gwGNB,FW,Everton,27-083,1998,12.5,2,0,0,28,16,14,3,3,6,0,0,0,29,72,83,46.5,Matches
Bilal El Khannouss,277,maMAR,MF,Leicester City,20-349,2004,20.4,4,0,0,27,9,0,74,6,25,0,0,0,81,19,18,51.4,Matches
Billy Gilmour,197,sctSCO,MF,Brighton,23-317,2001,1.1,0,0,0,2,3,0,1,0,3,0,0,0,5,0,0,N/a,Matches
Bobby Reid,426,jmJAM,FW,Leicester City,32-081,1993,7.8,2,0,0,9,9,4,15,0,4,1,0,0,27,6,14,30.0,Matches
Boubacar Kamara,271,frFRA,MF,Aston Villa,25-152,1999,15.3,2,0,0,23,26,0,1,16,19,0,0,0,67,16,21,43.2,Matches
Boubacar Traoré,513,mlMLI,MF,Wolves,23-247,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Boubakary Soumaré,479,frFRA,MF,Leicester City,26-056,1999,21.2,8,0,0,20,20,0,8,24,17,0,0,0,128,19,9,67.9,Matches
Brajan Gruda,211,deGER,"FW,MF",Brighton,20-328,2004,5.5,0,0,0,6,9,1,17,2,5,0,0,0,18,3,4,42.9,Matches
Brandon Austin,37,engENG,GK,Tottenham,26-106,1999,1.0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,100.0,Matches
Brennan Johnson,262,wlsWAL,FW,Tottenham,23-336,2001,22.1,5,0,0,25,24,9,51,4,26,2,0,0,58,7,20,25.9,Matches
Bruno Fernandes,178,ptPOR,MF,Manchester Utd,30-228,1994,29.6,4,2,1,26,37,2,164,25,44,0,0,0,187,20,27,42.6,Matches
Bruno Guimarães,216,brBRA,MF,Newcastle Utd,27-159,1997,31.4,6,0,0,53,98,2,21,27,41,0,0,0,156,16,15,51.6,Matches
Bryan Mbeumo,333,cmCMR,FW,Brentford,25-260,1999,32.9,2,0,0,22,40,11,171,14,26,0,0,0,137,31,68,31.3,Matches
Bukayo Saka,442,engENG,"FW,MF",Arsenal,23-231,2001,16.2,3,0,0,13,35,5,109,2,13,1,0,0,61,8,19,29.6,Matches
Caleb Kporha,287,engENG,DF,Crystal Palace,18-283,2006,0.1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0.0,Matches
Caleb Okoli,388,itITA,DF,Leicester City,23-285,2001,12.5,4,0,0,16,9,0,1,15,14,0,0,0,44,23,21,52.3,Matches
Callum Hudson-Odoi,239,engENG,"FW,MF",Nott'ham Forest,24-168,2000,23.4,2,0,0,12,21,8,74,13,14,1,0,0,90,3,10,23.1,Matches
Callum Wilson,552,engENG,FW,Newcastle Utd,33-056,1992,2.8,1,0,0,2,1,1,1,1,2,0,0,0,10,2,12,14.3,Matches
Calvin Bassey,47,ngNGA,DF,Fulham,25-114,1999,30.2,6,0,0,22,30,2,5,18,32,0,0,0,148,38,30,55.9,Matches
Cameron Archer,30,engENG,FW,Southampton,23-277,2001,14.8,0,0,0,16,12,7,3,2,7,0,0,0,33,8,27,22.9,Matches
Cameron Burgess,75,auAUS,DF,Ipswich Town,29-185,1995,14.1,0,0,0,4,4,1,0,13,8,0,0,0,35,38,19,66.7,Matches
Caoimhín Kelleher,274,ieIRL,GK,Liverpool,26-152,1998,10.0,0,0,0,0,3,0,0,0,0,0,0,0,18,1,0,100.0,Matches
Carlos Alcaraz,13,arARG,MF,Southampton,22-145,2002,0.1,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,100.0,Matches
Carlos Baleba,44,cmCMR,MF,Brighton,21-111,2004,24.7,8,1,1,37,42,0,8,39,37,0,2,0,163,37,21,63.8,Matches
Carlos Forbs,184,ptPOR,"MF,FW",Wolves,21-036,2004,2.6,2,0,0,2,1,0,9,1,5,0,0,0,11,1,3,25.0,Matches
Carlos Soler,475,esESP,"MF,FW",West Ham,28-112,1997,15.0,5,0,0,24,17,0,31,8,10,0,0,0,63,9,11,45.0,Matches
Carlos Vinícius,532,brBRA,"FW,MF",Fulham,30-030,1995,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N/a,Matches
Casemiro,86,brBRA,MF,Manchester Utd,33-060,1992,14.1,3,0,0,15,18,3,19,12,43,0,0,0,82,28,17,62.2,Matches
Chadi Riad,428,maMAR,DF,Crystal Palace,21-311,2003,1.0,0,0,0,1,0,0,0,2,2,0,0,0,4,2,4,33.3,Matches
Charlie Taylor,497,engENG,DF,Southampton,31-218,1993,3.0,1,0,0,2,2,0,9,3,5,0,0,0,7,4,2,66.7,Matches
Cheick Doucouré,146,mlMLI,MF,Crystal Palace,25-106,2000,5.0,1,0,0,7,7,0,1,11,8,0,0,0,31,5,5,50.0,Matches
Chidozie Obi-Martin,385,dkDEN,FW,Manchester Utd,17-146,2007,0.5,1,0,0,0,0,0,0,0,0,0,0,0,7,1,1,50.0,Matches
Chiedozie Ogbene,387,ieIRL,FW,Ipswich Town,27-358,1997,2.6,0,0,0,2,7,1,4,1,3,0,0,0,6,1,6,14.3,Matches
Chiquinho,97,ptPOR,MF,Wolves,25-078,2000,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,N/a,Matches
Chris Richards,430,usUSA,DF,Crystal Palace,25-027,2000,17.4,4,1,1,11,4,1,1,10,27,1,0,0,48,33,35,48.5,Matches
Chris Wood,557,nzNZL,FW,Nott'ham Forest,33-138,1991,27.9,1,0,0,22,20,24,1,5,4,0,0,0,40,80,117,40.6,Matches
Christian Eriksen,165,dkDEN,MF,Manchester Utd,33-069,1992,11.0,4,0,0,8,3,0,74,7,9,0,0,0,59,2,5,28.6,Matches
Christian Nørgaard,381,dkDEN,MF,Brentford,31-045,1994,26.3,5,1,0,37,26,1,13,42,44,0,0,0,173,40,29,58.0,Matches
Christian Walton,535,engENG,GK,Ipswich Town,29-166,1995,6.0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,100.0,Matches
Christopher Nkunku,376,frFRA,FW,Chelsea,27-161,1997,10.2,2,0,0,16,11,3,4,7,8,0,0,0,29,16,22,42.1,Matches
Cody Gakpo,190,nlNED,FW,Liverpool,25-352,1999,17.3,4,0,0,16,20,5,61,9,12,1,0,0,58,15,21,41.7,Matches
Cole Palmer,400,engENG,MF,Chelsea,22-353,2002,30.5,6,0,0,12,55,6,130,8,15,1,0,0,91,1,7,12.5,Matches
Conor Bradley,65,nirNIR,DF,Liverpool,21-289,2003,5.9,3,0,0,8,10,0,5,3,8,0,0,0,34,7,6,53.8,Matches
Conor Chaplin,93,engENG,"MF,FW",Ipswich Town,28-067,1997,6.9,1,0,0,10,5,0,9,3,5,0,0,0,23,2,8,20.0,Matches
Conor Coady,103,engENG,DF,Leicester City,32-058,1993,14.0,2,0,0,5,2,1,0,11,8,0,2,0,44,12,16,42.9,Matches
Conor Townsend,511,engENG,DF,Ipswich Town,32-051,1993,3.7,1,0,0,2,4,0,12,4,8,0,0,0,8,6,4,60.0,Matches
Craig Dawson,124,engENG,DF,Wolves,34-353,1990,10.8,2,0,0,6,5,2,0,9,3,0,0,2,35,21,11,65.6,Matches
Cristian Romero,439,arARG,DF,Tottenham,26-362,1998,15.7,3,0,0,14,12,2,3,21,29,0,0,0,90,41,27,60.3,Matches
Crysencio Summerville,491,nlNED,"FW,MF",West Ham,23-176,2001,8.7,2,0,0,9,23,4,21,0,7,0,0,0,38,4,9,30.8,Matches
Curtis Jones,264,engENG,"MF,DF",Liverpool,24-084,2001,15.7,3,1,1,15,21,1,6,5,17,1,0,0,75,13,12,52.0,Matches
Daichi Kamada,270,jpJPN,MF,Crystal Palace,28-262,1996,14.9,3,1,0,25,17,2,27,16,25,0,0,0,67,3,12,20.0,Matches
Dan Burn,76,engENG,DF,Newcastle Utd,32-350,1992,32.0,9,0,0,27,11,4,2,25,18,0,0,2,87,122,61,66.7,Matches
Dane Scarlett,453,engENG,"FW,MF",Tottenham,21-031,2004,0.4,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,100.0,Matches
Dango Ouattara,397,bfBFA,FW,Bournemouth,23-072,2002,20.5,2,0,0,15,17,13,80,8,23,0,0,0,83,41,57,41.8,Matches
Daniel Bentley,53,engENG,GK,Wolves,31-285,1993,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,100.0,Matches
Daniel Jebbison,254,engENG,FW,Bournemouth,21-254,2003,0.8,1,0,0,2,2,0,1,1,1,0,0,0,7,2,9,18.2,Matches
Daniel Muñoz,363,coCOL,DF,Crystal Palace,28-333,1996,31.9,9,0,0,47,19,13,60,39,70,0,0,0,149,56,73,43.4,Matches
Daniel Podence,412,ptPOR,"MF,FW",Wolves,29-185,1995,0.5,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0.0,Matches
Danilo,119,brBRA,"MF,FW",Nott'ham Forest,23-360,2001,3.0,0,0,0,1,0,0,3,3,3,0,0,0,18,1,1,50.0,Matches
Danny Ings,245,engENG,"FW,MF",West Ham,32-275,1992,3.2,0,0,0,0,2,0,3,1,2,1,0,0,9,8,10,44.4,Matches
Danny Ward,537,wlsWAL,GK,Leicester City,31-306,1993,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,N/a,Matches
Danny Welbeck,543,engENG,FW,Brighton,34-149,1990,19.6,4,0,0,10,20,2,3,5,13,0,0,0,35,15,23,39.5,Matches
Dara O'Shea,384,ieIRL,DF,Ipswich Town,26-051,1999,29.7,6,0,0,15,21,3,5,31,25,0,0,0,98,97,73,57.1,Matches
Darwin Núñez,379,uyURU,FW,Liverpool,25-304,1999,11.2,8,0,0,26,14,11,2,3,15,1,0,0,37,15,29,34.1,Matches
David Brooks,71,wlsWAL,"FW,MF",Bournemouth,27-290,1997,9.1,3,0,0,8,15,0,44,5,4,0,0,0,44,7,9,43.8,Matches
David Raya,422,esESP,GK,Arsenal,29-221,1995,34.0,2,0,0,1,8,0,0,2,0,0,1,0,38,10,0,100.0,Matches
Dean Henderson,231,engENG,GK,Crystal Palace,28-043,1997,34.0,3,0,0,0,0,0,0,0,1,0,0,0,25,11,1,91.7,Matches
Dean Huijsen,241,esESP,DF,Bournemouth,20-010,2005,22.8,7,0,0,26,9,2,12,49,23,0,0,0,91,61,41,59.8,Matches
Declan Rice,429,engENG,MF,Arsenal,26-100,1999,28.6,7,1,1,19,15,1,155,24,22,0,0,0,139,30,23,56.6,Matches
Dejan Kulusevski,290,seSWE,"MF,FW",Tottenham,24-364,2000,24.8,3,0,0,41,33,5,88,12,23,0,0,0,112,10,14,41.7,Matches
Destiny Udogie,520,itITA,DF,Tottenham,22-147,2002,19.4,2,0,0,29,36,2,19,19,44,0,0,0,103,13,13,50.0,Matches
Diego Carlos,84,brBRA,DF,Aston Villa,32-040,1993,9.2,1,0,0,11,1,1,0,5,3,0,0,0,36,11,10,52.4,Matches
Diego Gómez,203,pyPAR,MF,Brighton,22-028,2003,4.8,0,0,0,7,2,1,9,7,10,0,0,0,29,7,3,70.0,Matches
Diogo Dalot,117,ptPOR,DF,Manchester Utd,26-037,1999,31.0,5,0,0,40,9,4,65,37,39,0,1,0,164,38,21,64.4,Matches
Diogo Jota,266,ptPOR,FW,Liverpool,28-141,1996,11.9,2,0,0,18,12,1,8,6,7,1,0,0,38,21,28,42.9,Matches
Divin Mubama,359,engENG,FW,Manchester City,20-181,2004,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
Djed Spence,480,engENG,DF,Tottenham,24-258,2000,15.8,4,1,1,18,23,2,22,17,29,0,0,1,84,17,12,58.6,Matches
