Player,Rk,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Ola Aina,8,ngNGA,DF,Nott'ham Forest,28-198,1996,28.5,2,0,0,21,32,2,42,30,40,0,1,0,160,12,18,40.0,Matches
Oleksandr Zinchenko,565,uaUKR,"DF,MF",Arsenal,28-130,1996,5.0,1,0,0,8,3,1,10,4,1,0,0,0,16,11,11,50.0,Matches
Oliver Scarles,452,engENG,DF,West Ham,19-133,2005,6.6,1,0,0,4,3,1,13,10,11,0,0,0,33,5,5,50.0,Matches
Oliver Skipp,470,engENG,MF,Leicester City,24-220,2000,9.6,6,0,0,13,13,0,4,8,4,0,0,0,35,10,5,66.7,Matches
Ollie Watkins,541,engENG,FW,Aston Villa,29-115,1995,25.1,2,0,0,27,29,12,7,7,6,2,0,0,39,46,61,43.0,Matches
Omar Marmoush,324,egEGY,"FW,MF",Manchester City,26-076,1999,10.2,0,0,0,13,17,9,25,5,6,1,0,0,29,5,8,38.5,Matches
Omari Hutchinson,242,engENG,"MF,FW",Ipswich Town,21-176,2003,24.7,5,0,0,28,36,4,56,10,11,0,0,0,90,6,22,21.4,Matches
Orel Mangala,321,beBEL,MF,Everton,27-037,1998,14.0,2,0,0,24,17,2,6,21,8,0,0,0,49,6,8,42.9,Matches
Oscar Bobb,60,noNOR,FW,Manchester City,21-286,2003,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,N/a,Matches
Pablo Sarabia,448,esESP,"MF,FW",Wolves,32-348,1992,7.5,3,0,0,14,14,5,38,4,7,0,0,0,28,4,12,25.0,Matches
Pape Matar Sarr,328,snSEN,MF,Tottenham,22-222,2002,17.7,6,0,0,27,30,2,13,24,30,0,1,0,104,23,36,39.0,Matches
Patrick Dorgu,143,dkDEN,DF,Manchester Utd,20-180,2004,5.5,2,1,0,10,15,3,23,1,15,0,0,0,24,10,4,71.4,Matches
Patson Daka,116,zmZAM,"FW,MF",Leicester City,26-197,1998,7.2,0,0,0,11,16,3,3,1,9,0,0,0,17,10,27,27.0,Matches
Pau Torres,510,esESP,DF,Aston Villa,28-098,1997,19.2,1,0,0,6,7,0,1,9,14,0,0,0,53,16,22,42.1,Matches
Paul Onuachu,392,ngNGA,FW,Southampton,30-331,1994,10.9,4,0,0,26,15,9,0,1,2,0,0,0,17,88,54,62.0,Matches
Pedro Lima,303,brBRA,DF,Wolves,18-297,2006,0.8,0,0,0,1,1,1,5,2,0,0,0,0,3,0,3,0.0,Matches
Pedro Neto,374,ptPOR,FW,Chelsea,25-046,2000,20.4,8,0,0,17,28,3,122,8,9,0,0,0,64,9,24,27.3,Matches
Pedro Porro,415,esESP,DF,Tottenham,25-223,1999,27.4,4,0,0,24,30,1,191,34,46,0,0,0,148,11,22,33.3,Matches
Pervis Estupiñán,167,ecECU,DF,Brighton,27-093,1998,22.7,5,0,0,32,16,3,103,30,34,0,0,0,128,39,25,60.9,Matches
Phil Foden,182,engENG,"MF,FW",Manchester City,24-331,2000,18.7,2,0,0,5,31,3,73,9,5,0,0,0,58,3,8,27.3,Matches
Philip Billing,58,dkDEN,MF,Bournemouth,28-317,1996,2.0,1,0,0,3,2,0,10,5,5,0,0,0,14,6,4,60.0,Matches
Radu Drăgușin,149,roROU,DF,Tottenham,23-080,2002,13.9,1,0,0,6,10,0,1,15,6,0,0,0,48,33,22,60.0,Matches
Raheem Sterling,484,engENG,"FW,MF",Arsenal,30-137,1994,4.8,1,0,0,12,3,4,14,1,4,0,0,0,13,1,3,25.0,Matches
Ramón Sosa,477,pyPAR,"FW,MF",Nott'ham Forest,25-236,1999,2.9,1,0,0,6,8,3,8,3,3,0,0,0,20,4,7,36.4,Matches
Rasmus Højlund,243,dkDEN,FW,Manchester Utd,22-079,2003,18.4,2,0,0,15,25,10,6,1,1,1,0,0,28,21,79,21.0,Matches
Rayan Aït-Nouri,9,dzALG,DF,Wolves,23-322,2001,30.0,7,1,1,28,34,5,76,22,50,0,0,0,130,18,26,40.9,Matches
Raúl Jiménez,257,mxMEX,FW,Fulham,33-354,1991,22.7,3,0,0,33,35,13,19,9,18,1,0,0,67,66,81,44.9,Matches
Reece James,251,engENG,"DF,MF",Chelsea,25-137,1999,9.0,1,0,0,6,9,0,38,12,8,0,0,0,53,21,6,77.8,Matches
Reiss Nelson,371,engENG,FW,Arsenal,25-135,1999,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,N/a,Matches
Remy Rees-Dottin,424,engENG,FW,Bournemouth,19-049,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,Matches
Renato Veiga,526,ptPOR,"DF,MF",Chelsea,21-269,2003,2.0,2,0,0,6,1,1,0,1,6,0,0,0,9,3,3,50.0,Matches
Ricardo Pereira,406,ptPOR,DF,Leicester City,31-200,1993,3.3,1,0,0,4,6,0,3,2,4,0,0,0,12,3,1,75.0,Matches
Riccardo Calafiori,82,itITA,DF,Arsenal,22-340,2002,10.3,4,0,0,16,6,3,11,9,18,0,0,0,30,22,13,62.9,Matches
Richarlison,431,brBRA,FW,Tottenham,27-349,1997,4.3,1,0,0,6,7,1,7,0,3,0,0,0,8,8,16,33.3,Matches
Rico Henry,232,engENG,DF,Brentford,27-290,1997,0.2,0,0,0,0,1,0,0,1,0,0,0,0,2,1,1,50.0,Matches
Rico Lewis,299,engENG,"DF,MF",Manchester City,20-154,2004,20.1,5,1,1,10,33,0,3,13,19,0,0,0,93,5,13,27.8,Matches
Robert Sánchez,445,esESP,GK,Chelsea,27-157,1997,27.0,5,0,0,2,3,0,0,2,0,0,2,0,39,6,0,100.0,Matches
Robin Olsen,389,seSWE,GK,Aston Villa,35-106,1990,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,N/a,Matches
Rodri,435,esESP,MF,Manchester City,28-306,1996,0.7,0,0,0,1,2,0,0,1,1,0,0,0,7,1,0,100.0,Matches
Rodrigo Bentancur,52,uyURU,MF,Tottenham,27-303,1997,16.9,7,0,0,31,10,1,4,36,20,0,0,0,111,35,27,56.5,Matches
Rodrigo Gomes,201,ptPOR,"DF,FW",Wolves,21-291,2003,7.0,0,0,0,2,5,0,19,5,12,0,0,0,24,6,15,28.6,Matches
Rodrigo Muniz,362,brBRA,FW,Fulham,23-355,2001,10.7,1,0,0,11,31,3,1,5,5,0,0,0,14,67,63,51.5,Matches
Romain Esse,166,engENG,MF,Crystal Palace,19-346,2005,0.4,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,100.0,Matches
Roman Dixon,138,engENG,DF,Everton,20-119,2004,1.0,0,0,0,0,0,0,0,1,5,0,0,0,6,0,3,0.0,Matches
Roméo Lavia,295,beBEL,MF,Chelsea,21-108,2004,6.0,4,0,0,10,3,0,0,11,10,0,1,0,28,7,2,77.8,Matches
Ronnie Edwards,158,engENG,DF,Southampton,22-027,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,Matches
Ross Barkley,45,engENG,MF,Aston Villa,31-140,1993,6.3,3,0,0,8,3,0,1,10,3,0,0,0,40,6,4,60.0,Matches
Ross Stewart,485,sctSCO,"FW,MF",Southampton,28-287,1996,2.0,1,0,0,4,5,1,0,0,0,0,0,0,2,6,8,42.9,Matches
Ryan Christie,99,sctSCO,MF,Bournemouth,30-061,1995,23.5,9,0,0,43,31,1,48,30,33,0,0,0,182,20,28,41.7,Matches
Ryan Fraser,187,sctSCO,"FW,DF",Southampton,31-059,1994,3.4,0,1,0,1,4,1,12,1,2,0,1,0,10,2,3,40.0,Matches
Ryan Gravenberch,207,nlNED,MF,Liverpool,22-343,2002,31.5,5,0,0,40,46,0,6,56,32,0,0,0,174,25,13,65.8,Matches
Ryan Manning,322,ieIRL,"DF,MF",Southampton,28-314,1996,14.2,2,0,0,18,28,0,72,16,17,0,0,0,60,12,5,70.6,Matches
Ryan Sessegnon,462,engENG,"FW,DF",Fulham,24-341,2000,3.6,0,0,0,11,2,1,4,2,7,0,0,0,15,6,8,42.9,Matches
Ryan Trevitt,515,engENG,MF,Brentford,22-043,2003,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,N/a,Matches
Ryan Yates,561,engENG,MF,Nott'ham Forest,27-154,1997,19.7,9,0,0,49,46,6,3,25,21,0,0,0,89,43,30,58.9,Matches
Rúben Dias,131,ptPOR,DF,Manchester City,27-345,1997,21.2,4,0,0,11,8,0,3,18,9,0,1,1,65,30,29,50.8,Matches
Sam Johnstone,263,engENG,GK,Wolves,32-030,1993,7.0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,100.0,Matches
Sam Morsy,356,egEGY,MF,Ipswich Town,33-226,1991,25.9,9,0,0,43,22,0,11,28,34,0,1,1,132,14,22,38.9,Matches
Sammie Szmodics,492,ieIRL,"FW,MF",Ipswich Town,29-212,1995,10.9,2,0,0,9,8,8,13,6,9,0,1,0,41,6,11,35.3,Matches
Samuel Amo-Ameyaw,21,engENG,"FW,DF",Southampton,18-280,2006,0.3,1,0,0,1,2,0,2,0,0,0,0,0,1,0,1,0.0,Matches
Samuel Edozie,157,engENG,"DF,FW",Southampton,22-086,2003,0.7,1,0,0,2,1,0,4,0,1,0,0,0,1,0,0,N/a,Matches
Sander Berge,54,noNOR,MF,Fulham,27-069,1998,21.9,4,0,0,26,8,0,3,20,28,0,0,0,116,25,19,56.8,Matches
Sandro Tonali,509,itITA,MF,Newcastle Utd,24-351,2000,24.2,5,0,0,34,39,2,28,29,29,1,0,0,156,12,10,54.5,Matches
Santiago Bueno,73,uyURU,DF,Wolves,26-166,1998,18.6,2,0,0,26,5,0,0,15,20,0,0,0,43,34,31,52.3,Matches
Saša Lukić,308,rsSRB,MF,Fulham,28-254,1996,22.6,12,0,0,56,25,0,53,25,34,0,0,0,101,18,22,45.0,Matches
Scott McTominay,339,sctSCO,MF,Manchester Utd,28-137,1996,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
Sean Longstaff,307,engENG,MF,Newcastle Utd,27-176,1997,8.9,2,0,0,9,6,0,5,7,16,0,0,0,31,7,7,50.0,Matches
Sepp van den Berg,127,nlNED,DF,Brentford,23-125,2001,23.7,2,0,0,19,5,1,7,19,22,1,0,0,79,79,62,56.0,Matches
Sergio Reguilón,425,esESP,DF,Tottenham,28-129,1996,1.4,2,0,0,2,5,0,10,2,3,0,0,0,9,5,2,71.4,Matches
Shumaira Mheuka,343,engENG,MF,Chelsea,17-186,2007,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Simon Adingra,5,ciCIV,"FW,MF",Brighton,23-113,2002,9.2,0,0,0,9,2,2,32,7,9,0,0,0,36,4,2,66.7,Matches
Solly March,323,engENG,"FW,MF",Brighton,30-278,1994,1.2,2,0,0,2,1,1,16,2,3,0,0,0,4,1,1,50.0,Matches
Son Heung-min,234,krKOR,FW,Tottenham,32-290,1992,22.3,1,0,0,5,28,11,75,5,9,1,0,0,81,6,11,35.3,Matches
Stefan Ortega,395,deGER,GK,Manchester City,32-169,1992,12.2,1,0,0,1,2,0,0,0,0,0,1,0,8,2,0,100.0,Matches
Stephy Mavididi,330,engENG,FW,Leicester City,26-328,1998,17.9,2,0,0,18,18,3,69,11,19,0,0,0,83,9,15,37.5,Matches
Sven Botman,63,nlNED,DF,Newcastle Utd,25-102,2000,2.5,1,0,0,4,2,0,0,4,3,0,0,0,8,9,5,64.3,Matches
Sávio,451,brBRA,"FW,MF",Manchester City,21-014,2004,19.3,3,0,0,17,27,3,81,6,16,2,0,0,79,1,2,33.3,Matches
Séamus Coleman,104,ieIRL,DF,Everton,36-195,1988,2.2,1,0,0,0,1,0,3,1,1,0,0,0,7,1,1,50.0,Matches
Taiwo Awoniyi,38,ngNGA,FW,Nott'ham Forest,27-255,1997,4.2,0,0,0,8,10,1,2,0,3,0,0,0,17,12,33,26.7,Matches
Takehiro Tomiyasu,508,jpJPN,DF,Arsenal,26-170,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,Matches
Tariq Lamptey,293,ghGHA,DF,Brighton,24-206,2000,8.5,0,0,0,12,10,0,24,6,10,0,1,0,35,1,12,7.7,Matches
Taylor Harwood-Bellis,226,engENG,DF,Southampton,23-084,2002,27.5,8,0,0,31,12,0,9,30,19,0,0,0,114,50,35,58.8,Matches
Thiago,501,brBRA,FW,Brentford,23-302,2001,1.5,0,0,0,3,3,1,1,2,2,0,0,0,9,4,3,57.1,Matches
Thomas Partey,403,ghGHA,"MF,DF",Arsenal,31-315,1993,27.1,4,0,0,39,27,1,12,32,48,0,0,0,120,26,21,55.3,Matches
Tim Iroegbunam,246,engENG,MF,Everton,21-298,2003,6.3,4,0,0,15,11,0,1,15,13,0,0,0,47,9,4,69.2,Matches
Timo Werner,545,deGER,"FW,MF",Tottenham,29-049,1996,5.7,0,0,0,3,5,5,28,1,4,0,0,0,18,0,1,0.0,Matches
Timothy Castagne,90,beBEL,DF,Fulham,29-140,1995,18.1,1,0,0,15,6,1,37,22,29,0,1,0,55,34,35,49.3,Matches
Toby Collyer,106,engENG,MF,Manchester Utd,21-111,2004,2.0,0,0,0,2,4,0,0,2,9,0,0,0,17,3,1,75.0,Matches
Tom Cairney,80,sctSCO,MF,Fulham,34-094,1991,5.4,3,1,0,8,17,0,16,4,5,0,0,0,43,4,7,36.4,Matches
Tommy Doyle,148,engENG,MF,Wolves,23-189,2001,5.4,1,0,0,5,5,0,15,5,6,0,0,0,43,1,6,14.3,Matches
Tomáš Souček,478,czCZE,MF,West Ham,30-056,1995,24.0,8,0,0,39,23,4,11,15,18,1,0,0,50,87,65,57.2,Matches
Tosin Adarabioyo,4,engENG,DF,Chelsea,27-212,1997,13.7,3,0,0,8,6,1,0,10,10,0,0,0,34,36,26,58.1,Matches
Toti Gomes,202,ptPOR,DF,Wolves,26-098,1999,24.0,5,0,0,21,13,4,12,22,36,0,1,0,89,41,21,66.1,Matches
Trent Alexander-Arnold,15,engENG,DF,Liverpool,26-199,1998,24.1,5,0,0,9,7,1,142,30,48,0,0,0,122,3,12,20.0,Matches
Trevoh Chalobah,91,engENG,DF,Crystal Palace,25-293,1999,11.8,1,0,0,10,15,1,7,19,16,0,0,0,56,22,19,53.7,Matches
Tyler Adams,3,usUSA,MF,Bournemouth,26-069,1999,17.0,6,0,0,40,18,0,3,29,45,0,1,0,91,29,15,65.9,Matches
Tyler Dibling,133,engENG,"FW,MF",Southampton,19-043,2006,18.7,6,0,0,28,48,1,27,7,20,2,0,0,70,9,20,31.0,Matches
Tyler Fredricson,188,engENG,DF,Manchester Utd,20-060,2005,1.0,0,0,0,0,2,0,0,1,2,0,0,0,6,5,2,71.4,Matches
Tyrell Malacia,319,nlNED,DF,Manchester Utd,25-250,1999,1.1,1,0,0,3,2,0,1,1,1,0,0,0,3,0,0,N/a,Matches
Tyrick Mitchell,349,engENG,DF,Crystal Palace,25-235,1999,31.7,2,0,0,20,22,2,97,14,52,0,0,0,152,18,21,46.2,Matches
Tyrique George,195,engENG,FW,Chelsea,19-079,2006,1.1,1,0,0,2,0,1,3,1,0,0,0,0,2,0,3,0.0,Matches
Tyrone Mings,347,engENG,DF,Aston Villa,32-042,1993,11.7,1,0,0,3,9,0,1,7,5,0,0,0,33,26,21,55.3,Matches
Valentino Livramento,306,engENG,DF,Newcastle Utd,22-163,2002,26.6,1,0,0,6,32,2,40,20,32,0,0,0,165,20,30,40.0,Matches
Victor Bernth Kristiansen,56,dkDEN,DF,Leicester City,22-129,2002,26.4,1,0,0,17,17,3,96,40,50,0,1,1,97,19,42,31.1,Matches
Victor Lindelöf,304,seSWE,DF,Manchester Utd,30-281,1994,4.9,1,0,0,7,1,0,1,7,1,0,0,0,10,10,13,43.5,Matches
Virgil van Dijk,524,nlNED,DF,Liverpool,33-290,1991,33.0,3,0,0,15,12,0,1,52,16,0,0,0,104,109,44,71.2,Matches
Vitaliy Mykolenko,367,uaUKR,DF,Everton,25-330,1999,29.2,2,0,0,18,26,3,80,34,32,0,1,0,73,42,36,53.8,Matches
Vitaly Janelt,252,deGER,MF,Brentford,26-349,1998,25.0,3,0,0,24,15,1,30,27,22,0,0,2,107,19,11,63.3,Matches
Vitezslav Jaros,253,czCZE,GK,Liverpool,23-275,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,Matches
Vitor Reis,427,brBRA,DF,Manchester City,19-102,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,Matches
Vladimír Coufal,110,czCZE,DF,West Ham,32-245,1992,9.6,4,0,0,20,14,0,19,8,11,0,0,1,27,18,12,60.0,Matches
Wataru Endo,164,jpJPN,MF,Liverpool,32-074,1993,1.7,0,0,0,12,6,0,0,3,6,0,0,0,7,1,3,25.0,Matches
Welington,544,brBRA,"DF,MF",Southampton,24-064,2001,2.4,1,0,0,3,5,0,10,3,5,0,1,0,10,0,2,0.0,Matches
Wes Burns,77,wlsWAL,"FW,DF",Ipswich Town,30-152,1994,10.3,1,0,0,4,11,0,46,10,11,0,0,0,50,8,21,27.6,Matches
Wesley Fofana,183,frFRA,DF,Chelsea,24-128,2000,13.0,7,0,0,24,16,0,1,14,12,0,0,0,54,27,12,69.2,Matches
Wilfred Ndidi,369,ngNGA,MF,Leicester City,28-129,1996,21.9,7,0,0,36,16,3,28,23,42,0,0,1,107,51,46,52.6,Matches
Will Alves,19,engENG,FW,Leicester City,20-080,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,Matches
Will Hughes,240,engENG,MF,Crystal Palace,30-007,1995,20.8,11,0,0,60,30,0,65,19,33,0,1,0,107,17,17,50.0,Matches
Will Lankshear,294,engENG,"FW,MF",Tottenham,20-004,2005,0.1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,N/a,Matches
William Osula,396,dkDEN,FW,Newcastle Utd,21-263,2003,1.0,0,0,0,2,1,1,0,4,0,0,0,0,2,3,1,75.0,Matches
William Saliba,444,frFRA,DF,Arsenal,24-031,2001,31.3,2,1,0,27,17,1,3,21,34,0,1,0,140,57,35,62.0,Matches
William Smallbone,471,ieIRL,MF,Southampton,25-062,2000,6.8,1,0,0,10,3,0,31,2,10,0,1,0,23,4,2,66.7,Matches
Willian,550,brBRA,"MF,FW",Fulham,36-258,1988,1.8,0,0,0,1,0,0,8,1,1,0,0,0,14,1,2,33.3,Matches
Willy Boly,62,ciCIV,DF,Nott'ham Forest,34-080,1991,1.7,1,0,0,1,0,0,0,3,1,0,0,0,5,6,2,75.0,Matches
Wilson Odobert,386,frFRA,FW,Tottenham,20-147,2004,5.7,0,0,0,0,3,0,19,3,2,0,0,0,27,3,3,50.0,Matches
Wout Faes,173,beBEL,DF,Leicester City,27-021,1998,26.3,3,0,0,20,9,1,5,26,23,0,0,0,80,40,31,56.3,Matches
Woyo Coulibaly,111,frFRA,DF,Leicester City,25-339,1999,1.2,1,0,0,2,1,0,0,5,4,0,0,0,14,0,3,0.0,Matches
Yankuba Minteh,348,gmGAM,"FW,MF",Brighton,20-276,2004,16.3,6,0,0,17,9,4,70,10,31,0,0,0,73,16,25,39.0,Matches
Yasin Ayari,39,seSWE,MF,Brighton,21-200,2003,18.3,3,0,0,31,22,3,61,19,28,0,0,0,104,13,18,41.9,Matches
Yehor Yarmoliuk,560,uaUKR,MF,Brentford,21-054,2004,11.5,4,0,0,11,8,2,13,9,22,0,0,0,83,7,5,58.3,Matches
Yerson Mosquera,357,coCOL,DF,Wolves,23-357,2001,4.9,2,0,0,6,7,1,2,10,7,0,0,0,24,11,6,64.7,Matches
Yoane Wissa,556,cdCOD,FW,Brentford,28-233,1996,27.4,2,0,0,26,44,14,20,8,8,1,0,0,61,28,31,47.5,Matches
Youri Tielemans,503,beBEL,MF,Aston Villa,27-352,1997,32.4,4,0,0,40,53,0,115,21,56,0,0,0,140,22,18,55.0,Matches
Youssef Chermiti,94,ptPOR,"FW,MF",Everton,20-335,2004,0.2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0,Matches
Yukinari Sugawara,489,jpJPN,"DF,MF",Southampton,24-300,2000,16.3,4,0,0,15,9,4,69,10,16,0,2,0,40,5,9,35.7,Matches
Yunus Emre Konak,161,trTUR,"FW,MF",Brentford,19-104,2006,0.4,0,0,0,3,1,0,0,0,4,0,0,0,2,4,4,50.0,Matches
Yves Bissouma,59,mlMLI,MF,Tottenham,28-237,1996,13.4,7,0,0,22,18,0,2,14,28,0,1,0,71,4,7,36.4,Matches
Zain Silcott-Duberry,464,msMSR,FW,Bournemouth,19-289,2005,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,Matches
Álex Moreno,355,esESP,"DF,MF",Nott'ham Forest,31-320,1993,10.6,2,0,0,12,6,0,19,15,18,0,0,0,50,3,11,21.4,Matches
İlkay Gündoğan,218,deGER,MF,Manchester City,34-182,1990,21.9,1,0,0,14,21,0,57,13,13,0,0,0,104,13,11,54.2,Matches
Łukasz Fabiański,172,plPOL,GK,West Ham,40-006,1985,11.9,2,0,0,2,1,0,0,0,0,0,2,0,5,2,1,66.7,Matches
