Player,Rk,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Reiss Nelson,371,engENG,FW,Arsenal,25-135,1999,0.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Remy Rees-Dottin,424,engENG,FW,Bournemouth,19-049,2006,0.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Renato Veiga,526,ptPOR,"DF,MF",Chelsea,21-269,2003,2.0,0,3,1,33.3,1.49,0.50,0.00,0.00,17.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Ricardo Pereira,406,ptPOR,DF,Leicester City,31-200,1993,3.3,0,2,1,50.0,0.61,0.30,0.00,0.00,17.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Riccardo Calafiori,82,itITA,DF,Arsenal,22-340,2002,10.3,2,10,6,60.0,0.97,0.58,0.20,0.33,14.1,0,0,0,0.9,0.9,0.09,+1.1,+1.1,Matches
Richarlison,431,brBRA,FW,Tottenham,27-349,1997,4.3,4,15,7,46.7,3.51,1.64,0.27,0.57,8.4,0,0,0,3.6,3.6,0.24,+0.4,+0.4,Matches
Rico Henry,232,engENG,DF,Brentford,27-290,1997,0.2,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Rico Lewis,299,engENG,"DF,MF",Manchester City,20-154,2004,20.1,1,10,2,20.0,0.50,0.10,0.10,0.50,15.8,0,0,0,1.4,1.4,0.14,-0.4,-0.4,Matches
Robert Sánchez,445,esESP,GK,Chelsea,27-157,1997,27.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Robin Olsen,389,seSWE,GK,Aston Villa,35-106,1990,2.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Rodri,435,esESP,MF,Manchester City,28-306,1996,0.7,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Rodrigo Bentancur,52,uyURU,MF,Tottenham,27-303,1997,16.9,2,22,5,22.7,1.30,0.30,0.09,0.40,17.4,0,0,0,1.3,1.3,0.06,+0.7,+0.7,Matches
Rodrigo Gomes,201,ptPOR,"DF,FW",Wolves,21-291,2003,7.0,1,4,2,50.0,0.57,0.28,0.25,0.50,15.9,0,0,0,0.4,0.4,0.09,+0.6,+0.6,Matches
Rodrigo Muniz,362,brBRA,FW,Fulham,23-355,2001,10.7,8,39,19,48.7,3.64,1.77,0.21,0.42,12.0,0,0,0,5.8,5.8,0.15,+2.2,+2.2,Matches
Romain Esse,166,engENG,MF,Crystal Palace,19-346,2005,0.4,1,1,1,100.0,2.65,2.65,1.00,1.00,2.8,0,0,0,0.3,0.3,0.32,+0.7,+0.7,Matches
Roman Dixon,138,engENG,DF,Everton,20-119,2004,1.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Roméo Lavia,295,beBEL,MF,Chelsea,21-108,2004,6.0,0,1,0,0.0,0.17,0.00,0.00,N/a,16.0,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches
Ronnie Edwards,158,engENG,DF,Southampton,22-027,2003,0.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Ross Barkley,45,engENG,MF,Aston Villa,31-140,1993,6.3,3,15,5,33.3,2.40,0.80,0.20,0.60,14.0,0,0,0,1.7,1.7,0.11,+1.3,+1.3,Matches
Ross Stewart,485,sctSCO,"FW,MF",Southampton,28-287,1996,2.0,0,2,0,0.0,1.02,0.00,0.00,N/a,12.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Ryan Christie,99,sctSCO,MF,Bournemouth,30-061,1995,23.5,2,33,12,36.4,1.40,0.51,0.06,0.17,19.6,0,0,0,1.8,1.8,0.06,+0.2,+0.2,Matches
Ryan Fraser,187,sctSCO,"FW,DF",Southampton,31-059,1994,3.4,0,1,1,100.0,0.29,0.29,0.00,0.00,31.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Ryan Gravenberch,207,nlNED,MF,Liverpool,22-343,2002,31.5,0,17,4,23.5,0.54,0.13,0.00,0.00,24.2,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches
Ryan Manning,322,ieIRL,"DF,MF",Southampton,28-314,1996,14.2,0,7,1,14.3,0.49,0.07,0.00,0.00,20.8,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Ryan Sessegnon,462,engENG,"FW,DF",Fulham,24-341,2000,3.6,3,10,6,60.0,2.78,1.67,0.30,0.50,12.7,0,0,0,1.2,1.2,0.13,+1.8,+1.8,Matches
Ryan Trevitt,515,engENG,MF,Brentford,22-043,2003,0.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Ryan Yates,561,engENG,MF,Nott'ham Forest,27-154,1997,19.7,2,31,9,29.0,1.57,0.46,0.06,0.22,18.9,0,0,0,2.3,2.3,0.07,-0.3,-0.3,Matches
Rúben Dias,131,ptPOR,DF,Manchester City,27-345,1997,21.2,0,17,5,29.4,0.80,0.24,0.00,0.00,18.4,0,0,0,1.4,1.4,0.08,-1.4,-1.4,Matches
Sam Johnstone,263,engENG,GK,Wolves,32-030,1993,7.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Sam Morsy,356,egEGY,MF,Ipswich Town,33-226,1991,25.9,1,9,2,22.2,0.35,0.08,0.11,0.50,26.3,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
Sammie Szmodics,492,ieIRL,"FW,MF",Ipswich Town,29-212,1995,10.9,4,21,12,57.1,1.93,1.10,0.19,0.33,14.0,0,0,0,3.4,3.4,0.16,+0.6,+0.6,Matches
Samuel Amo-Ameyaw,21,engENG,"FW,DF",Southampton,18-280,2006,0.3,0,1,0,0.0,3.21,0.00,0.00,N/a,20.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Samuel Edozie,157,engENG,"DF,FW",Southampton,22-086,2003,0.7,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Sander Berge,54,noNOR,MF,Fulham,27-069,1998,21.9,0,2,0,0.0,0.09,0.00,0.00,N/a,7.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Sandro Tonali,509,itITA,MF,Newcastle Utd,24-351,2000,24.2,3,29,10,34.5,1.20,0.41,0.10,0.30,19.4,2,0,0,3.5,3.5,0.12,-0.5,-0.5,Matches
Santiago Bueno,73,uyURU,DF,Wolves,26-166,1998,18.6,0,6,3,50.0,0.32,0.16,0.00,0.00,14.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Saša Lukić,308,rsSRB,MF,Fulham,28-254,1996,22.6,0,14,2,14.3,0.62,0.09,0.00,0.00,21.0,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
Scott McTominay,339,sctSCO,MF,Manchester Utd,28-137,1996,0.2,0,1,0,0.0,4.74,0.00,0.00,N/a,10.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Sean Longstaff,307,engENG,MF,Newcastle Utd,27-176,1997,8.9,0,6,1,16.7,0.68,0.11,0.00,0.00,13.5,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches
Sepp van den Berg,127,nlNED,DF,Brentford,23-125,2001,23.7,0,14,4,28.6,0.59,0.17,0.00,0.00,10.9,0,0,0,1.4,1.4,0.10,-1.4,-1.4,Matches
Sergio Reguilón,425,esESP,DF,Tottenham,28-129,1996,1.4,0,1,0,0.0,0.73,0.00,0.00,N/a,5.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Shumaira Mheuka,343,engENG,MF,Chelsea,17-186,2007,0.0,0,1,1,100.0,90.00,90.00,0.00,0.00,7.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Simon Adingra,5,ciCIV,"FW,MF",Brighton,23-113,2002,9.2,2,24,7,29.2,2.62,0.76,0.08,0.29,16.1,0,0,0,2.2,2.2,0.09,-0.2,-0.2,Matches
Solly March,323,engENG,"FW,MF",Brighton,30-278,1994,1.2,0,1,0,0.0,0.85,0.00,0.00,N/a,18.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Son Heung-min,234,krKOR,FW,Tottenham,32-290,1992,22.3,7,53,24,45.3,2.38,1.08,0.11,0.25,17.0,1,1,2,7.0,5.4,0.10,0.0,+0.6,Matches
Stefan Ortega,395,deGER,GK,Manchester City,32-169,1992,12.2,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Stephy Mavididi,330,engENG,FW,Leicester City,26-328,1998,17.9,4,26,7,26.9,1.45,0.39,0.15,0.57,16.1,1,0,0,1.8,1.8,0.07,+2.2,+2.2,Matches
Sven Botman,63,nlNED,DF,Newcastle Utd,25-102,2000,2.5,0,1,0,0.0,0.40,0.00,0.00,N/a,11.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Sávio,451,brBRA,"FW,MF",Manchester City,21-014,2004,19.3,1,54,21,38.9,2.80,1.09,0.02,0.05,17.7,1,0,0,4.9,4.9,0.09,-3.9,-3.9,Matches
Séamus Coleman,104,ieIRL,DF,Everton,36-195,1988,2.2,0,1,1,100.0,0.46,0.46,0.00,0.00,10.5,0,0,0,0.6,0.6,0.57,-0.6,-0.6,Matches
Taiwo Awoniyi,38,ngNGA,FW,Nott'ham Forest,27-255,1997,4.2,1,10,4,40.0,2.38,0.95,0.10,0.25,12.6,0,0,0,2.1,2.1,0.21,-1.1,-1.1,Matches
Takehiro Tomiyasu,508,jpJPN,DF,Arsenal,26-170,1998,0.1,0,1,0,0.0,12.86,0.00,0.00,N/a,1.2,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches
Tariq Lamptey,293,ghGHA,DF,Brighton,24-206,2000,8.5,2,6,2,33.3,0.71,0.24,0.33,1.00,18.5,0,0,0,0.4,0.4,0.06,+1.6,+1.6,Matches
Taylor Harwood-Bellis,226,engENG,DF,Southampton,23-084,2002,27.5,1,19,7,36.8,0.69,0.25,0.05,0.14,10.6,0,0,0,1.7,1.7,0.09,-0.7,-0.7,Matches
Thiago,501,brBRA,FW,Brentford,23-302,2001,1.5,0,1,0,0.0,0.68,0.00,0.00,N/a,14.7,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
Thomas Partey,403,ghGHA,"MF,DF",Arsenal,31-315,1993,27.1,4,23,7,30.4,0.85,0.26,0.17,0.57,19.5,0,0,0,2.0,2.0,0.09,+2.0,+2.0,Matches
Tim Iroegbunam,246,engENG,MF,Everton,21-298,2003,6.3,0,5,0,0.0,0.80,0.00,0.00,N/a,22.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Timo Werner,545,deGER,"FW,MF",Tottenham,29-049,1996,5.7,0,8,3,37.5,1.40,0.52,0.00,0.00,18.2,0,0,0,1.0,1.0,0.12,-1.0,-1.0,Matches
Timothy Castagne,90,beBEL,DF,Fulham,29-140,1995,18.1,0,8,3,37.5,0.44,0.17,0.00,0.00,14.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Toby Collyer,106,engENG,MF,Manchester Utd,21-111,2004,2.0,0,1,0,0.0,0.50,0.00,0.00,N/a,6.2,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
Tom Cairney,80,sctSCO,MF,Fulham,34-094,1991,5.4,1,5,2,40.0,0.92,0.37,0.20,0.50,23.3,1,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
Tommy Doyle,148,engENG,MF,Wolves,23-189,2001,5.4,0,9,2,22.2,1.66,0.37,0.00,0.00,24.5,1,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
Tomáš Souček,478,czCZE,MF,West Ham,30-056,1995,24.0,7,47,12,25.5,1.96,0.50,0.15,0.58,11.4,0,0,0,5.3,5.3,0.12,+1.7,+1.7,Matches
Tosin Adarabioyo,4,engENG,DF,Chelsea,27-212,1997,13.7,1,12,2,16.7,0.88,0.15,0.08,0.50,12.5,0,0,0,0.9,0.9,0.08,+0.1,+0.1,Matches
Toti Gomes,202,ptPOR,DF,Wolves,26-098,1999,24.0,0,7,2,28.6,0.29,0.08,0.00,0.00,11.6,0,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches
Trent Alexander-Arnold,15,engENG,DF,Liverpool,26-199,1998,24.1,3,39,8,20.5,1.62,0.33,0.08,0.38,23.4,2,0,0,1.6,1.6,0.04,+1.4,+1.4,Matches
Trevoh Chalobah,91,engENG,DF,Crystal Palace,25-293,1999,11.8,3,11,4,36.4,0.93,0.34,0.27,0.75,15.1,0,0,0,1.2,1.2,0.11,+1.8,+1.8,Matches
Tyler Adams,3,usUSA,MF,Bournemouth,26-069,1999,17.0,0,8,2,25.0,0.47,0.12,0.00,0.00,16.1,0,0,0,1.6,1.6,0.19,-1.6,-1.6,Matches
Tyler Dibling,133,engENG,"FW,MF",Southampton,19-043,2006,18.7,2,28,9,32.1,1.50,0.48,0.07,0.22,19.3,0,0,0,2.5,2.5,0.09,-0.5,-0.5,Matches
Tyler Fredricson,188,engENG,DF,Manchester Utd,20-060,2005,1.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Tyrell Malacia,319,nlNED,DF,Manchester Utd,25-250,1999,1.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Tyrick Mitchell,349,engENG,DF,Crystal Palace,25-235,1999,31.7,0,11,2,18.2,0.35,0.06,0.00,0.00,13.4,0,0,0,1.2,1.2,0.11,-1.2,-1.2,Matches
Tyrique George,195,engENG,FW,Chelsea,19-079,2006,1.1,1,3,1,33.3,2.65,0.88,0.33,1.00,15.0,0,0,0,0.2,0.2,0.07,+0.8,+0.8,Matches
Tyrone Mings,347,engENG,DF,Aston Villa,32-042,1993,11.7,0,9,1,11.1,0.77,0.09,0.00,0.00,11.8,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
Valentino Livramento,306,engENG,DF,Newcastle Utd,22-163,2002,26.6,0,5,1,20.0,0.19,0.04,0.00,0.00,20.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Victor Bernth Kristiansen,56,dkDEN,DF,Leicester City,22-129,2002,26.4,0,3,0,0.0,0.11,0.00,0.00,N/a,17.7,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
Victor Lindelöf,304,seSWE,DF,Manchester Utd,30-281,1994,4.9,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Virgil van Dijk,524,nlNED,DF,Liverpool,33-290,1991,33.0,2,23,7,30.4,0.70,0.21,0.09,0.29,12.7,1,0,0,1.9,1.9,0.08,+0.1,+0.1,Matches
Vitaliy Mykolenko,367,uaUKR,DF,Everton,25-330,1999,29.2,0,12,0,0.0,0.41,0.00,0.00,N/a,20.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Vitaly Janelt,252,deGER,MF,Brentford,26-349,1998,25.0,1,14,4,28.6,0.56,0.16,0.07,0.25,17.7,0,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches
Vitezslav Jaros,253,czCZE,GK,Liverpool,23-275,2001,0.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Vitor Reis,427,brBRA,DF,Manchester City,19-102,2006,0.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Vladimír Coufal,110,czCZE,DF,West Ham,32-245,1992,9.6,0,4,1,25.0,0.42,0.10,0.00,0.00,16.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Wataru Endo,164,jpJPN,MF,Liverpool,32-074,1993,1.7,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Welington,544,brBRA,"DF,MF",Southampton,24-064,2001,2.4,0,3,0,0.0,1.26,0.00,0.00,N/a,31.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Wes Burns,77,wlsWAL,"FW,DF",Ipswich Town,30-152,1994,10.3,0,7,1,14.3,0.68,0.10,0.00,0.00,18.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Wesley Fofana,183,frFRA,DF,Chelsea,24-128,2000,13.0,0,3,0,0.0,0.23,0.00,0.00,N/a,10.6,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
Wilfred Ndidi,369,ngNGA,MF,Leicester City,28-129,1996,21.9,0,20,8,40.0,0.92,0.37,0.00,0.00,14.5,0,0,0,1.8,1.8,0.09,-1.8,-1.8,Matches
Will Alves,19,engENG,FW,Leicester City,20-080,2005,0.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Will Hughes,240,engENG,MF,Crystal Palace,30-007,1995,20.8,0,19,1,5.3,0.91,0.05,0.00,0.00,22.6,0,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
Will Lankshear,294,engENG,"FW,MF",Tottenham,20-004,2005,0.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
William Osula,396,dkDEN,FW,Newcastle Utd,21-263,2003,1.0,0,1,0,0.0,1.00,0.00,0.00,N/a,13.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
William Saliba,444,frFRA,DF,Arsenal,24-031,2001,31.3,2,6,2,33.3,0.19,0.06,0.33,1.00,5.4,0,0,0,2.3,2.3,0.38,-0.3,-0.3,Matches
William Smallbone,471,ieIRL,MF,Southampton,25-062,2000,6.8,1,6,1,16.7,0.88,0.15,0.17,1.00,19.3,1,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches
Willian,550,brBRA,"MF,FW",Fulham,36-258,1988,1.8,0,3,0,0.0,1.68,0.00,0.00,N/a,22.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Willy Boly,62,ciCIV,DF,Nott'ham Forest,34-080,1991,1.7,0,1,1,100.0,0.60,0.60,0.00,0.00,10.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Wilson Odobert,386,frFRA,FW,Tottenham,20-147,2004,5.7,0,10,2,20.0,1.74,0.35,0.00,0.00,17.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
Wout Faes,173,beBEL,DF,Leicester City,27-021,1998,26.3,1,11,1,9.1,0.42,0.04,0.09,1.00,10.0,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches
Woyo Coulibaly,111,frFRA,DF,Leicester City,25-339,1999,1.2,0,2,1,50.0,1.65,0.83,0.00,0.00,19.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Yankuba Minteh,348,gmGAM,"FW,MF",Brighton,20-276,2004,16.3,5,28,13,46.4,1.71,0.80,0.18,0.38,13.6,0,0,0,3.7,3.7,0.13,+1.3,+1.3,Matches
Yasin Ayari,39,seSWE,MF,Brighton,21-200,2003,18.3,0,24,6,25.0,1.31,0.33,0.00,0.00,18.6,2,0,0,2.2,2.2,0.09,-2.2,-2.2,Matches
Yehor Yarmoliuk,560,uaUKR,MF,Brentford,21-054,2004,11.5,0,9,2,22.2,0.78,0.17,0.00,0.00,15.9,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
Yerson Mosquera,357,coCOL,DF,Wolves,23-357,2001,4.9,0,2,0,0.0,0.41,0.00,0.00,N/a,12.4,0,0,0,0.3,0.3,0.17,-0.3,-0.3,Matches
Yoane Wissa,556,cdCOD,FW,Brentford,28-233,1996,27.4,16,74,34,45.9,2.70,1.24,0.22,0.47,13.7,0,0,0,14.9,14.9,0.20,+1.1,+1.1,Matches
Youri Tielemans,503,beBEL,MF,Aston Villa,27-352,1997,32.4,2,36,11,30.6,1.11,0.34,0.06,0.18,20.4,0,0,1,3.0,2.3,0.06,-1.0,-0.3,Matches
Youssef Chermiti,94,ptPOR,"FW,MF",Everton,20-335,2004,0.2,0,2,1,50.0,10.59,5.29,0.00,0.00,12.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Yukinari Sugawara,489,jpJPN,"DF,MF",Southampton,24-300,2000,16.3,1,13,5,38.5,0.80,0.31,0.08,0.20,19.2,1,0,0,0.5,0.5,0.04,+0.5,+0.5,Matches
Yunus Emre Konak,161,trTUR,"FW,MF",Brentford,19-104,2006,0.4,0,1,0,0.0,2.65,0.00,0.00,N/a,21.4,0,0,0,0.2,0.2,0.15,-0.2,-0.2,Matches
Yves Bissouma,59,mlMLI,MF,Tottenham,28-237,1996,13.4,2,10,4,40.0,0.74,0.30,0.20,0.50,23.2,0,0,0,0.6,0.6,0.06,+1.4,+1.4,Matches
Zain Silcott-Duberry,464,msMSR,FW,Bournemouth,19-289,2005,0.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Álex Moreno,355,esESP,"DF,MF",Nott'ham Forest,31-320,1993,10.6,0,6,0,0.0,0.57,0.00,0.00,N/a,23.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
İlkay Gündoğan,218,deGER,MF,Manchester City,34-182,1990,21.9,0,25,5,20.0,1.14,0.23,0.00,0.00,18.3,2,0,0,2.7,2.7,0.11,-2.7,-2.7,Matches
Łukasz Fabiański,172,plPOL,GK,West Ham,40-006,1985,11.9,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
