Player,Rk,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2,Matches
Gustavo Nunes,377,brBRA,"MF,FW",Brentford,19-155,2005,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Hamza Choudhury,98,bdBAN,"MF,DF",Leicester City,27-205,1997,4,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,4,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.00,0.27,Matches
Harrison Armstrong,34,engENG,MF,Everton,18-095,2007,3,0,48,0.5,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,1,1,0,0.00,0.00,0.00,0.00,0.00,0.69,0.14,0.82,0.69,0.82,Matches
Harrison Reed,423,engENG,MF,Fulham,30-087,1995,11,0,93,1.0,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,1,4,7,0.00,0.00,0.00,0.00,0.00,0.22,0.07,0.30,0.22,0.30,Matches
Harry Amass,20,engENG,DF,Manchester Utd,18-039,2007,3,2,166,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,4,12,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03,Matches
Harry Clarke,100,engENG,DF,Ipswich Town,24-053,2001,7,4,379,4.2,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,5,14,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Harry Maguire,317,engENG,DF,Manchester Utd,32-050,1993,22,16,"1,418",15.8,1,0,1,1,0,0,7,0,1.4,1.4,0.3,1.6,6,42,5,0.06,0.00,0.06,0.06,0.06,0.09,0.02,0.10,0.09,0.10,Matches
Harry Toffolo,507,engENG,DF,Nott'ham Forest,29-248,1995,4,1,137,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,4,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Harry Wilson,553,wlsWAL,"FW,MF",Fulham,28-033,1997,20,8,852,9.5,5,1,6,5,0,0,2,0,3.2,3.2,1.0,4.2,16,43,71,0.53,0.11,0.63,0.53,0.63,0.34,0.10,0.45,0.34,0.45,Matches
Harry Winks,554,engENG,MF,Leicester City,29-081,1996,22,17,"1,538",17.1,0,2,2,0,0,0,4,0,0.2,0.2,1.2,1.5,19,101,11,0.00,0.12,0.12,0.00,0.12,0.01,0.07,0.09,0.01,0.09,Matches
Harvey Barnes,46,engENG,FW,Newcastle Utd,27-136,1997,28,12,"1,337",14.9,9,4,13,9,0,0,0,0,6.2,6.2,3.4,9.6,68,63,143,0.61,0.27,0.88,0.61,0.88,0.41,0.23,0.65,0.41,0.65,Matches
Harvey Elliott,160,engENG,"MF,FW",Liverpool,22-020,2003,13,0,184,2.0,0,1,1,0,0,0,0,0,0.5,0.5,0.9,1.3,7,24,23,0.00,0.49,0.49,0.00,0.49,0.23,0.42,0.64,0.23,0.64,Matches
Hwang Hee-chan,230,krKOR,"MF,FW",Wolves,29-088,1996,19,5,645,7.2,2,0,2,2,0,0,0,0,0.8,0.8,0.1,0.9,15,12,40,0.28,0.00,0.28,0.28,0.28,0.11,0.02,0.13,0.11,0.13,Matches
Hákon Rafn Valdimarsson,417,isISL,GK,Brentford,23-193,2001,2,1,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ian Maatsen,311,nlNED,DF,Aston Villa,23-045,2002,25,7,887,9.9,1,2,3,1,0,0,2,0,0.7,0.7,2.7,3.4,26,39,84,0.10,0.20,0.30,0.10,0.30,0.08,0.27,0.35,0.08,0.35,Matches
Ibrahim Sangaré,447,ciCIV,MF,Nott'ham Forest,27-143,1997,8,3,279,3.1,0,1,1,0,0,0,2,0,0.0,0.0,0.4,0.4,0,12,2,0.00,0.32,0.32,0.00,0.32,0.01,0.11,0.12,0.01,0.12,Matches
Ibrahima Konaté,284,frFRA,DF,Liverpool,25-334,1999,27,26,"2,230",24.8,1,2,3,1,0,0,5,0,1.6,1.6,1.0,2.6,21,102,2,0.04,0.08,0.12,0.04,0.12,0.07,0.04,0.11,0.07,0.11,Matches
Idrissa Gana Gueye,191,snSEN,MF,Everton,35-210,1989,32,30,"2,615",29.1,0,3,3,0,0,0,8,0,1.0,1.0,1.7,2.7,23,122,21,0.00,0.10,0.10,0.00,0.10,0.04,0.06,0.09,0.04,0.09,Matches
Igor,244,brBRA,DF,Brighton,27-076,1998,12,9,903,10.0,0,0,0,0,0,0,4,0,0.0,0.0,0.2,0.2,9,44,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Iliman Ndiaye,368,snSEN,FW,Everton,25-049,2000,28,25,"2,117",23.5,7,0,7,5,2,2,3,0,5.2,3.6,1.6,5.2,78,44,105,0.30,0.00,0.30,0.21,0.21,0.22,0.07,0.29,0.15,0.22,Matches
Illia Zabarnyi,564,uaUKR,DF,Bournemouth,22-235,2002,31,30,"2,662",29.6,0,0,0,0,0,0,3,1,1.0,1.0,0.6,1.5,24,123,4,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
Ismaila Sarr,450,snSEN,"MF,FW",Crystal Palace,27-058,1998,34,26,"2,392",26.6,7,4,11,7,0,0,4,0,8.7,8.7,7.0,15.7,67,76,164,0.26,0.15,0.41,0.26,0.41,0.33,0.26,0.59,0.33,0.59,Matches
Issa Diop,135,frFRA,DF,Fulham,28-105,1997,21,15,"1,339",14.9,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,6,25,3,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.04,0.04,0.04,Matches
Jack Clarke,101,engENG,"FW,MF",Ipswich Town,24-152,2000,27,10,994,11.0,0,4,4,0,0,0,2,0,1.0,1.0,2.0,2.9,29,32,47,0.00,0.36,0.36,0.00,0.36,0.09,0.18,0.27,0.09,0.27,Matches
Jack Grealish,209,engENG,"FW,MF",Manchester City,29-226,1995,19,7,720,8.0,1,1,2,1,0,0,3,0,1.1,1.1,1.8,3.0,69,52,118,0.12,0.12,0.25,0.12,0.25,0.14,0.23,0.37,0.14,0.37,Matches
Jack Harrison,225,engENG,FW,Everton,28-155,1996,29,21,"1,825",20.3,1,0,1,1,0,0,0,0,3.3,3.3,3.7,7.0,60,43,114,0.05,0.00,0.05,0.05,0.05,0.16,0.18,0.34,0.16,0.34,Matches
Jack Hinshelwood,236,engENG,"DF,MF",Brighton,20-013,2005,21,19,"1,595",17.7,2,1,3,2,0,0,4,0,1.4,1.4,1.2,2.6,16,55,44,0.11,0.06,0.17,0.11,0.17,0.08,0.07,0.15,0.08,0.15,Matches
Jack Stephens,483,engENG,DF,Southampton,31-087,1994,15,13,"1,074",11.9,0,0,0,0,0,0,2,2,0.3,0.3,0.2,0.5,13,49,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
Jack Taylor,498,ieIRL,MF,Ipswich Town,26-305,1998,27,1,600,6.7,1,0,1,1,0,0,3,0,0.7,0.7,0.5,1.2,11,37,18,0.15,0.00,0.15,0.15,0.15,0.10,0.08,0.19,0.10,0.19,Matches
Jacob Greaves,210,engENG,DF,Ipswich Town,24-224,2000,20,20,"1,755",19.5,1,0,1,1,0,0,4,0,1.2,1.2,0.0,1.3,6,48,5,0.05,0.00,0.05,0.05,0.05,0.06,0.00,0.07,0.06,0.07,Matches
Jacob Murphy,366,engENG,FW,Newcastle Utd,30-059,1995,30,26,"2,018",22.4,8,11,19,8,0,0,3,0,5.5,5.5,7.8,13.3,67,61,187,0.36,0.49,0.85,0.36,0.85,0.25,0.35,0.59,0.25,0.59,Matches
Jacob Ramsey,419,engENG,"FW,MF",Aston Villa,23-331,2001,26,18,"1,485",16.5,1,3,4,1,0,0,2,0,1.4,1.4,2.1,3.5,57,64,103,0.06,0.18,0.24,0.06,0.24,0.09,0.12,0.21,0.09,0.21,Matches
Jaden Philogene Bidace,408,engENG,"FW,MF",Aston Villa,23-075,2002,11,2,332,3.7,0,0,0,0,0,0,4,1,0.5,0.5,0.3,0.8,7,4,17,0.00,0.00,0.00,0.00,0.00,0.13,0.08,0.20,0.13,0.20,Matches
Jadon Sancho,446,engENG,FW,Chelsea,25-030,2000,27,18,"1,655",18.4,3,4,7,3,0,0,1,0,2.0,2.0,3.4,5.4,95,86,214,0.16,0.22,0.38,0.16,0.38,0.11,0.18,0.29,0.11,0.29,Matches
Jahmai Simpson-Pusey,468,engENG,DF,Manchester City,19-171,2005,2,1,96,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jake Evans,169,N/a,FW,Leicester City,N/a,N/a,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jake O'Brien,382,ieIRL,DF,Everton,23-344,2001,16,13,"1,211",13.5,2,0,2,2,0,0,4,0,0.7,0.7,0.6,1.3,7,39,24,0.15,0.00,0.15,0.15,0.15,0.05,0.04,0.09,0.05,0.09,Matches
Jakub Kiwior,282,plPOL,DF,Arsenal,25-068,2000,13,6,762,8.5,1,0,1,1,0,0,0,0,0.2,0.2,0.3,0.4,5,35,0,0.12,0.00,0.12,0.12,0.12,0.02,0.03,0.05,0.02,0.05,Matches
Jakub Moder,351,plPOL,MF,Brighton,26-017,1999,4,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,1.45,1.45,0.00,1.45,Matches
Jakub Stolarczyk,486,plPOL,GK,Leicester City,24-126,2000,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
James Bree,67,engENG,DF,Southampton,27-195,1997,14,11,890,9.9,0,1,1,0,0,0,0,0,0.1,0.1,0.9,1.0,9,30,34,0.00,0.10,0.10,0.00,0.10,0.01,0.09,0.10,0.01,0.10,Matches
James Garner,194,engENG,"MF,DF",Everton,24-042,2001,16,12,"1,144",12.7,0,1,1,0,0,0,3,0,0.3,0.3,1.3,1.6,9,33,22,0.00,0.08,0.08,0.00,0.08,0.02,0.10,0.12,0.02,0.12,Matches
James Hill,235,engENG,DF,Bournemouth,23-104,2002,10,6,448,5.0,0,1,1,0,0,0,1,0,0.3,0.3,0.3,0.6,3,16,8,0.00,0.20,0.20,0.00,0.20,0.06,0.05,0.11,0.06,0.11,Matches
James Justin,267,engENG,DF,Leicester City,27-060,1998,31,30,"2,534",28.2,2,1,3,2,0,0,5,0,1.5,1.5,0.5,2.0,36,80,90,0.07,0.04,0.11,0.07,0.11,0.05,0.02,0.07,0.05,0.07,Matches
James Maddison,313,engENG,MF,Tottenham,28-152,1996,30,20,"1,764",19.6,9,6,15,9,0,0,6,0,5.8,5.8,4.1,9.9,43,160,92,0.46,0.31,0.77,0.46,0.77,0.30,0.21,0.51,0.30,0.51,Matches
James Mcatee,334,engENG,"MF,FW",Manchester City,22-188,2002,13,2,297,3.3,3,0,3,3,0,0,1,0,2.8,2.8,0.3,3.1,7,6,25,0.91,0.00,0.91,0.91,0.91,0.85,0.10,0.95,0.85,0.95,Matches
James Milner,346,engENG,MF,Brighton,39-110,1986,3,3,169,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,10,10,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.21,0.09,0.21,Matches
James Tarkowski,495,engENG,DF,Everton,32-156,1992,33,33,"2,922",32.5,1,1,2,1,0,0,6,0,1.3,1.3,2.9,4.2,9,75,3,0.03,0.03,0.06,0.03,0.06,0.04,0.09,0.13,0.04,0.13,Matches
James Ward-Prowse,539,engENG,MF,West Ham,30-174,1994,10,8,757,8.4,0,1,1,0,0,0,2,0,0.5,0.5,1.1,1.6,9,43,3,0.00,0.12,0.12,0.00,0.12,0.06,0.13,0.19,0.06,0.19,Matches
Jamie Vardy,525,engENG,FW,Leicester City,38-103,1987,31,31,"2,481",27.6,7,3,10,6,1,1,5,0,9.4,8.6,2.9,11.5,27,20,104,0.25,0.11,0.36,0.22,0.33,0.34,0.11,0.45,0.31,0.42,Matches
Jan Bednarek,49,plPOL,DF,Southampton,29-012,1996,27,27,"2,261",25.1,2,0,2,2,0,0,7,0,0.7,0.7,0.5,1.2,4,58,1,0.08,0.00,0.08,0.08,0.08,0.03,0.02,0.05,0.03,0.05,Matches
Jan Paul van Hecke,229,nlNED,DF,Brighton,24-320,2000,30,29,"2,598",28.9,1,1,2,1,0,0,8,1,1.3,1.3,1.5,2.7,53,209,5,0.03,0.03,0.07,0.03,0.07,0.04,0.05,0.09,0.04,0.09,Matches
Jannik Vestergaard,530,dkDEN,DF,Leicester City,32-264,1992,18,16,"1,391",15.5,0,0,0,0,0,0,5,0,0.1,0.1,0.1,0.2,3,32,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,Matches
Jarell Quansah,416,engENG,DF,Liverpool,22-085,2003,11,2,315,3.5,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,2,12,4,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
Jarrad Branthwaite,66,engENG,DF,Everton,22-301,2002,26,24,"2,168",24.1,0,1,1,0,0,0,4,0,1.1,1.1,0.6,1.6,9,54,1,0.00,0.04,0.04,0.00,0.04,0.05,0.02,0.07,0.05,0.07,Matches
Jarrod Bowen,64,engENG,"FW,MF",West Ham,28-125,1996,29,29,"2,541",28.2,9,5,14,8,1,1,1,0,7.4,6.6,5.4,12.0,93,84,176,0.32,0.18,0.50,0.28,0.46,0.26,0.19,0.45,0.24,0.43,Matches
Jason Steele,482,engENG,GK,Brighton,34-249,1990,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jay Robinson,434,engENG,MF,Southampton,18-040,2007,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,1.69,1.69,0.00,1.69,Matches
Jay Stansfield,481,engENG,MF,Fulham,22-151,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jayden Danns,120,engENG,MF,Liverpool,19-098,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jayden Meghoma,341,engENG,DF,Brentford,18-300,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jean-Clair Todibo,506,frFRA,DF,West Ham,25-115,1999,22,15,"1,395",15.5,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,9,27,4,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Jean-Philippe Mateta,329,frFRA,FW,Crystal Palace,27-300,1997,33,30,"2,442",27.1,14,2,16,12,2,2,2,0,12.1,10.5,3.1,13.6,37,46,114,0.52,0.07,0.59,0.44,0.52,0.45,0.11,0.56,0.39,0.50,Matches
Jean-Ricner Bellegarde,51,frFRA,"MF,FW",Wolves,26-301,1998,30,18,"1,479",16.4,2,6,8,2,0,0,3,0,1.3,1.3,3.6,4.9,46,35,80,0.12,0.37,0.49,0.12,0.49,0.08,0.22,0.30,0.08,0.30,Matches
Jefferson Lerma,298,coCOL,"MF,DF",Crystal Palace,30-181,1994,29,23,"2,030",22.6,0,1,1,0,0,0,8,0,1.0,1.0,1.5,2.5,11,86,24,0.00,0.04,0.04,0.00,0.04,0.04,0.06,0.11,0.04,0.11,Matches
Jeffrey Schlupp,456,ghGHA,"MF,DF",Crystal Palace,32-122,1992,12,0,103,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,4,5,9,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.28,0.14,0.28,Matches
Jens Cajuste,81,seSWE,MF,Ipswich Town,25-257,1999,26,23,"1,774",19.7,1,0,1,1,0,0,2,0,0.5,0.5,0.6,1.1,23,46,16,0.05,0.00,0.05,0.05,0.05,0.02,0.03,0.06,0.02,0.06,Matches
Jeremy Doku,141,beBEL,"FW,MF",Manchester City,22-332,2002,25,14,"1,307",14.5,3,5,8,3,0,0,1,0,1.0,1.0,3.9,4.9,176,62,235,0.21,0.34,0.55,0.21,0.55,0.07,0.27,0.34,0.07,0.34,Matches
Jeremy Monga,352,N/a,FW,Leicester City,N/a,N/a,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jeremy Sarmiento,449,ecECU,MF,Brighton,22-312,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jesper Lindstrøm,305,dkDEN,FW,Everton,25-054,2000,25,15,"1,239",13.8,0,1,1,0,0,0,2,0,2.1,2.1,2.0,4.1,30,25,81,0.00,0.07,0.07,0.00,0.07,0.15,0.15,0.30,0.15,0.30,Matches
Joachim Andersen,23,dkDEN,DF,Crystal Palace,28-328,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Joe Aribo,32,ngNGA,"MF,DF",Southampton,28-277,1996,30,20,"1,909",21.2,3,0,3,3,0,0,1,0,2.7,2.7,1.6,4.3,35,71,64,0.14,0.00,0.14,0.14,0.14,0.13,0.07,0.20,0.13,0.20,Matches
Joe Gomez,204,engENG,DF,Liverpool,27-336,1997,9,6,519,5.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,5,35,2,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches
Joe Lumley,309,engENG,GK,Southampton,30-068,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Joe Willock,551,engENG,"MF,FW",Newcastle Utd,25-247,1999,28,9,887,9.9,0,2,2,0,0,0,2,0,1.2,1.2,1.6,2.9,31,34,68,0.00,0.20,0.20,0.00,0.20,0.12,0.17,0.29,0.12,0.29,Matches
Joel Ward,538,engENG,DF,Crystal Palace,35-177,1989,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Joelinton,260,brBRA,"MF,FW",Newcastle Utd,28-253,1996,29,29,"2,393",26.6,4,3,7,4,0,0,10,0,3.9,3.9,2.5,6.4,40,116,110,0.15,0.11,0.26,0.15,0.26,0.15,0.09,0.24,0.15,0.24,Matches
John McGinn,337,sctSCO,"MF,FW",Aston Villa,30-188,1994,30,24,"1,992",22.1,1,3,4,1,0,0,7,0,2.9,2.6,3.4,6.0,30,90,70,0.05,0.14,0.18,0.05,0.18,0.13,0.15,0.28,0.12,0.27,Matches
John Stones,487,engENG,"DF,MF",Manchester City,30-331,1994,11,6,548,6.1,2,0,2,2,0,0,1,0,0.4,0.4,0.1,0.5,10,21,2,0.33,0.00,0.33,0.33,0.33,0.07,0.01,0.08,0.07,0.08,Matches
Jonny Evans,170,nirNIR,DF,Manchester Utd,37-111,1988,6,3,290,3.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,8,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Jordan Ayew,40,ghGHA,"FW,MF",Crystal Palace,33-225,1991,1,0,21,0.2,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,0,0,1,0.00,0.00,0.00,0.00,0.00,1.96,0.21,2.17,1.96,2.17,Matches
Jordan Pickford,410,engENG,GK,Everton,31-048,1994,33,33,"2,970",33.0,0,1,1,0,0,0,7,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Matches
Jorge Cuenca,114,esESP,DF,Fulham,25-158,1999,6,3,259,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Jorginho,265,itITA,MF,Arsenal,33-125,1991,14,9,703,7.8,0,0,0,0,0,0,5,0,0.1,0.1,0.4,0.5,12,48,6,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches
Joshua Acheampong,2,engENG,DF,Chelsea,18-354,2006,4,2,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,8,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
Joshua King,280,engENG,"MF,FW",Fulham,18-111,2007,5,1,80,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,1,4,9,0.00,0.00,0.00,0.00,0.00,0.22,0.48,0.70,0.22,0.70,Matches
Joshua Zirkzee,566,nlNED,"FW,MF",Manchester Utd,23-337,2001,32,14,"1,402",15.6,3,1,4,3,0,0,2,0,4.8,4.8,1.5,6.3,14,44,69,0.19,0.06,0.26,0.19,0.26,0.31,0.10,0.41,0.31,0.41,Matches
José Sá,441,ptPOR,GK,Wolves,32-097,1993,25,25,"2,250",25.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Jota Silva,466,ptPOR,"FW,MF",Nott'ham Forest,25-266,1999,27,5,828,9.2,3,1,4,3,0,0,5,0,1.9,1.9,2.9,4.8,19,16,54,0.33,0.11,0.43,0.33,0.43,0.20,0.31,0.52,0.20,0.52,Matches
João Félix,175,ptPOR,"FW,MF",Chelsea,25-165,1999,12,3,369,4.1,1,1,2,1,0,0,2,0,2.2,2.2,1.0,3.2,21,26,30,0.24,0.24,0.49,0.24,0.49,0.54,0.23,0.78,0.54,0.78,Matches
João Gomes,200,brBRA,MF,Wolves,24-071,2001,31,31,"2,601",28.9,3,1,4,3,0,0,10,1,2.6,2.6,1.1,3.7,51,142,63,0.10,0.03,0.14,0.10,0.14,0.09,0.04,0.13,0.09,0.13,Matches
João Pedro,259,brBRA,"FW,MF",Brighton,23-210,2001,27,23,"1,948",21.6,10,6,16,5,5,5,4,1,8.9,5.0,5.0,10.0,66,78,128,0.46,0.28,0.74,0.23,0.51,0.41,0.23,0.64,0.23,0.46,Matches
